,날짜,시가,고가,저가,종가,거래량,외국인소진율
0,20190807,8080,9400,8080,9140,13565,0.12
1,20190808,9990,9990,8830,8980,840,0.12
2,20190809,9700,9700,9000,9000,536,0.12
3,20190812,9290,9400,9000,9400,1957,0.12
4,20190813,9400,9760,9400,9690,924,0.12
5,20190814,9970,9990,9700,9980,144,0.12
6,20190816,9390,9950,9390,9400,20,0.12
7,20190819,9600,9950,9600,9950,81,0.12
8,20190820,9940,10500,9940,9990,351,0.12
9,20190821,10050,11350,10050,11350,2604,0.13
10,20190822,10800,12450,10800,12450,7455,0.12
11,20190823,12500,12500,11700,12450,1239,0.12
12,20190826,11550,12000,11400,11550,624,0.13
13,20190827,12500,12500,11150,11350,231,0.13
14,20190828,11300,11900,11300,11800,37,0.12
15,20190829,11500,12150,11350,12150,122,0.12
16,20190830,11650,12000,11650,11800,1868,0.12
17,20190902,12350,12350,12000,12000,4,0.12
18,20190903,11400,11850,11400,11800,14,0.12
19,20190904,11800,12000,11800,12000,2043,0.12
20,20190905,11950,13700,11950,12500,3479,0.12
21,20190906,12800,12800,12800,12800,1,0.12
22,20190909,13600,13600,12250,13250,10,0.12
23,20190910,13900,13900,13200,13250,29,0.13
24,20190911,13150,13150,12650,12950,22,0.13
25,20190916,13100,13100,12900,12900,3,0.13
26,20190917,13100,13100,12500,12950,136,0.13
27,20190918,13100,13100,13100,13100,1,0.13
28,20190919,13800,13800,12600,13100,70,0.13
29,20190920,13150,13150,12750,12800,17,0.13
30,20190923,12250,12600,12250,12350,1497,0.13
31,20190924,12550,12800,12100,12300,72,0.13
32,20190925,13000,13000,12000,12450,433,0.13
33,20190926,12450,12450,12000,12450,4,0.13
34,20190927,12000,12400,12000,12300,9,0.13
35,20190930,11800,12300,11800,12250,11,0.13
36,20191001,12200,12250,11850,12250,8,0.13
37,20191002,12250,12500,12000,12200,335,0.17
38,20191004,12450,12450,12400,12400,9,0.17
39,20191007,12000,12150,11750,12100,68,0.17
40,20191008,12000,12000,12000,12000,1,0.17
41,20191010,11700,11850,11700,11850,120,0.17
42,20191011,11850,11850,11600,11600,2,0.17
43,20191014,11500,11700,11450,11700,15,0.17
44,20191015,11850,12000,11750,12000,1933,0.18
45,20191016,12400,12400,11750,11750,7,0.18
46,20191017,12000,12000,12000,12000,869,0.18
47,20191018,12350,12350,12350,12350,2,0.18
48,20191021,12200,12300,12200,12300,46,0.18
49,20191022,12250,12250,12250,12250,0,0.18
50,20191023,12500,12500,11000,11600,1531,0.18
51,20191024,11600,11850,11600,11800,77,0.18
52,20191025,11850,11850,11500,11500,125,0.18
53,20191028,11800,11800,11800,11800,2,0.18
54,20191029,11750,11750,11700,11700,3,0.18
55,20191030,11650,11650,11650,11650,1,0.18
