,날짜,시가,고가,저가,종가,거래량,외국인소진율
0,20220207,16000,20000,13400,13500,16812893,0.19
1,20220208,13800,14300,12150,12700,5520265,0.14
2,20220209,13300,15150,13050,13450,9966595,0.25
3,20220210,13250,13850,12300,13100,1885957,0.19
4,20220211,13500,13800,12500,12500,1853405,0.18
5,20220214,11950,12000,10650,10650,1112193,0.2
6,20220215,10600,10900,10000,10000,893915,0.22
7,20220216,10350,10750,10200,10650,1053817,0.6
8,20220217,11100,12450,10650,11150,5404176,0.28
9,20220218,10750,11250,10650,11000,958992,0.53
10,20220221,12250,14300,12050,14300,11573508,0.83
11,20220222,14500,14850,12300,12300,7098465,0.28
12,20220223,12550,12650,12050,12300,1780322,0.45
13,20220224,12250,12850,10700,10750,3045438,0.31
14,20220225,11200,11700,10850,11400,1989383,0.56
15,20220228,11150,11350,10900,11100,727246,0.4
16,20220302,11000,11300,10950,11150,537391,0.35
17,20220303,11150,12000,11000,11550,1746053,0.43
18,20220304,11650,11900,11300,11350,1446263,0.23
19,20220307,11850,12100,11200,11200,1552387,0.12
20,20220308,10750,11100,10750,10900,396105,0.18
21,20220310,11150,11300,10700,10700,361949,0.07
22,20220311,10700,11150,10600,10750,322085,0.17
23,20220314,10800,11000,10600,10900,376206,0.26
24,20220315,10800,11650,10750,11350,808615,0.32
25,20220316,11450,11550,11100,11250,331263,0.19
26,20220317,11400,11850,11200,11550,872452,0.56
27,20220318,11550,13350,11350,12350,3106479,0.86
28,20220321,12400,12600,11850,11900,868266,0.14
29,20220322,12200,13300,12200,12500,2205824,0.16
30,20220323,12500,13600,12250,13450,1851061,1.37
31,20220324,13200,13650,12750,13650,765406,1.36
32,20220325,13950,13950,12650,12750,818460,0.6
33,20220328,12700,12700,12050,12200,450725,0.84
34,20220329,12350,12750,12150,12250,507214,0.56
35,20220330,12350,13200,12250,12950,1024053,0.66
36,20220331,12900,14850,12750,14500,4321767,2.7
37,20220401,14350,14800,14100,14800,1059065,2.7
38,20220404,14800,14800,13900,14500,619631,1.94
39,20220405,14500,15900,14250,15150,2399010,0.88
40,20220406,14850,15100,14250,14600,390796,0.9
41,20220407,14600,17300,14500,15650,7368721,1.53
42,20220408,15500,17000,15400,16700,2544768,1.6
43,20220411,16550,16600,15300,15300,993044,0.65
44,20220412,14950,16250,14950,15700,1050737,0.64
45,20220413,15600,16250,15500,16100,656573,0.86
46,20220414,16350,16350,15300,15450,646102,0.46
47,20220415,15300,15700,14600,15450,571976,0.93
48,20220418,15350,16150,15000,16000,438960,0.93
49,20220419,16050,18300,15950,17800,3834160,2.4
50,20220420,17650,17950,16800,16850,706816,2.21
51,20220421,17200,18350,16850,17700,1247543,1.12
52,20220422,17050,18900,16900,17950,967834,1.03
53,20220425,17500,17850,17000,17350,382421,0.77
54,20220426,17500,18050,16900,16950,443087,0.64
55,20220427,16450,16500,15800,16100,364007,0.58
56,20220428,16150,16400,15150,15700,340702,0.74
57,20220429,15950,16750,15700,16650,326246,0.76
58,20220502,16350,16850,16200,16650,137240,0.63
59,20220503,16650,16750,15650,16100,337818,0.45
60,20220504,15900,16900,15850,16200,482441,0.49
61,20220506,15850,16550,15250,15400,312354,0.41
62,20220509,15200,15350,13900,14150,540814,1.13
63,20220510,13750,14200,12950,14050,514716,1.37
64,20220511,14000,14200,13650,13700,104155,1.09
65,20220512,13450,13800,12750,13000,221748,1.44
66,20220513,13150,13400,12850,13000,122973,1.3
67,20220516,13050,13850,13000,13800,392861,0.72
68,20220517,13850,14250,13700,13900,194687,0.57
69,20220518,14100,15350,14000,14800,636473,0.9
70,20220519,14450,14650,14000,14200,298530,0.71
71,20220520,14300,14550,14000,14200,151546,0.46
72,20220523,14350,14650,13500,14400,231727,0.62
73,20220524,14750,15250,14250,14400,232515,0.49
74,20220525,14450,14600,13950,14150,139507,0.48
75,20220526,14200,14350,13300,13400,420785,0.56
76,20220527,13600,13900,13200,13250,169950,0.52
77,20220530,13450,13750,13150,13700,143332,0.31
78,20220531,13600,14750,13600,14500,516192,0.7
79,20220602,14550,14750,14150,14350,166849,0.6
80,20220603,14450,14550,14100,14200,118486,0.33
81,20220607,14300,14700,14100,14300,173319,0.23
82,20220608,14400,14800,14300,14450,229378,0.19
83,20220609,14450,14800,14250,14650,132718,0.17
84,20220610,14500,16550,14450,15850,1758189,1.18
85,20220613,15500,15750,14100,14300,755886,0.29
86,20220614,14400,14950,13300,13800,940231,0.35
87,20220615,13950,14000,13200,13200,199452,0.29
88,20220616,13450,13800,13100,13150,212203,0.31
89,20220617,12700,12850,12150,12500,306517,0.5
90,20220620,12700,12700,11550,11600,230058,0.38
91,20220621,11650,11850,11350,11600,273713,0.3
92,20220622,11650,11950,11050,11100,316581,0.45
93,20220623,11050,12100,10650,11450,259568,0.48
94,20220624,11450,12700,11450,12450,325177,0.72
95,20220627,12500,12750,12250,12500,129173,0.58
96,20220628,12450,12700,12150,12550,96310,0.47
97,20220629,12300,13650,12250,13500,224452,0.51
98,20220630,13500,13850,12950,13000,116488,0.37
99,20220701,13000,14000,12800,13050,257526,0.47
100,20220704,13350,13350,12300,12700,76425,0.42
101,20220705,12700,13200,12650,13000,61571,0.49
102,20220706,13150,14050,12950,13450,229462,0.66
103,20220707,13600,14150,13250,13450,133156,0.67
104,20220708,13700,14050,13300,14000,136136,0.47
105,20220711,14400,14700,13950,13950,309653,0.24
106,20220712,13850,13950,13150,13350,102338,0.25
107,20220713,13400,14000,13400,13450,241625,0.18
108,20220714,13450,13700,13050,13300,81062,0.13
109,20220715,13300,13750,13100,13550,70212,0.19
110,20220718,13600,13900,13500,13750,50097,0.17
111,20220719,13600,13900,13550,13700,27111,0.17
112,20220720,13850,13900,13400,13600,54287,0.13
113,20220721,13700,13800,13350,13800,52132,0.17
114,20220722,13950,13950,13500,13500,40711,0.17
115,20220725,13650,14650,13300,14300,284087,0.47
116,20220726,14350,17100,14350,16200,1354582,0.82
117,20220727,16150,16400,15750,16100,685001,0.98
118,20220728,16000,16050,15250,15550,430830,0.65
119,20220729,15650,15950,15050,15050,322032,0.19
120,20220801,15200,15200,14700,15000,154247,0.38
121,20220802,14950,15200,14250,14500,230193,0.32
122,20220803,14500,15100,14500,14900,219589,0.13
123,20220804,14900,15350,14900,15150,144535,0.15
124,20220805,15100,15650,14850,15550,165373,0.18
