,날짜,시가,고가,저가,종가,거래량,외국인소진율
0,20220428,41600,45500,41000,43450,184729,6.31
1,20220429,43750,45250,43600,44850,33628,6.32
2,20220502,44800,44800,43750,44300,17659,6.25
3,20220503,43500,43650,42250,42300,27285,6.24
4,20220504,42600,43100,42250,42800,9533,6.27
5,20220506,43050,43050,41200,42100,8886,6.25
6,20220509,41800,41800,40650,41000,11832,6.24
7,20220510,40650,41450,39850,41000,6816,6.21
8,20220511,40400,41000,40000,41000,4831,6.24
9,20220512,41000,41100,40200,40300,7641,6.18
10,20220513,39900,41250,39900,40700,2478,6.18
11,20220516,40700,41000,40200,40200,2428,6.18
12,20220517,40200,41000,39950,40200,2929,6.18
13,20220518,41000,41000,39450,39650,8399,6.18
14,20220519,39000,40200,38100,38450,8710,6.19
15,20220520,39750,39750,37800,38200,12130,6.21
16,20220523,38200,38200,37750,38000,2711,6.21
17,20220524,38900,38900,38200,38350,5313,6.2
18,20220525,38400,39500,38050,39300,9126,6.23
19,20220526,38800,39850,38800,39100,1654,6.24
20,20220527,39800,40000,39100,39500,3265,6.22
21,20220530,39600,40050,39600,40000,1970,6.22
22,20220531,40000,40550,39700,40200,6343,6.21
23,20220602,40200,40300,39050,39150,3359,6.22
24,20220603,39250,39450,38800,39300,3314,6.24
25,20220607,39300,39300,38000,38400,3067,6.22
26,20220608,38350,39900,38200,38350,1893,6.22
27,20220609,38350,38600,37950,38250,2223,6.22
28,20220610,38150,39000,38100,38650,2357,6.21
29,20220613,37700,39200,36900,37300,5133,6.21
30,20220614,36400,37250,36000,37000,4929,6.2
31,20220615,37800,37800,35800,36250,4525,6.18
32,20220616,37850,37850,36000,36000,3082,6.18
33,20220617,34450,36000,34450,35850,4844,6.15
34,20220620,35900,35900,33950,34850,4746,6.15
35,20220621,35000,35450,34250,34850,4038,6.13
36,20220622,34850,34850,33600,33650,4145,6.13
37,20220623,33650,33650,32400,32900,3635,6.13
38,20220624,33250,35000,32900,34200,1966,6.11
39,20220627,34900,35500,33500,34900,3053,6.13
40,20220628,35300,35350,34400,34900,1792,6.06
41,20220629,34900,35150,34000,34850,2115,6.05
42,20220630,34850,35750,34600,35150,7829,6.03
43,20220701,35150,36900,34600,35400,5750,6.01
44,20220704,35400,35400,33750,34250,2005,6.0
45,20220705,33900,34850,33900,34250,3101,6.01
46,20220706,34900,34900,33750,33750,1203,6.01
47,20220707,33750,34300,33750,34150,2136,6.01
48,20220708,34500,34500,34050,34250,2450,6.02
49,20220711,34300,34450,33800,34200,1042,6.02
50,20220712,33800,34450,33250,33600,1194,6.02
51,20220713,33550,33900,33200,33500,1309,6.02
52,20220714,33500,33850,33250,33300,942,6.02
53,20220715,34900,34950,33050,33250,1021,6.02
54,20220718,33400,34000,31750,33600,1559,6.03
55,20220719,33600,34050,32550,33800,986,6.03
56,20220720,34150,34200,33550,34000,2465,6.03
57,20220721,34450,34450,33750,34200,1163,6.03
58,20220722,34000,34300,33950,34000,637,6.03
59,20220725,33650,34150,33650,33750,1026,6.04
60,20220726,33750,34000,33600,33900,812,6.03
61,20220727,33550,34000,33500,34000,769,6.03
62,20220728,34200,34300,33300,33700,2493,6.04
63,20220729,33900,33950,33700,33900,2073,6.03
64,20220801,33000,34000,33000,33750,1307,6.03
65,20220802,34400,34400,33700,33900,1152,6.03
66,20220803,33850,33950,33750,33900,1422,6.03
67,20220804,34400,34400,33750,33900,2620,6.03
68,20220805,34000,34700,33850,34000,11530,5.9
69,20220808,34000,34550,33850,34400,2336,5.9
