,날짜,시가,고가,저가,종가,거래량,외국인소진율
0,20230131,7280,9460,7280,9460,98108,0.05
1,20230201,12290,12290,11230,12290,1480577,0.4
2,20230202,14120,14800,11800,12500,3370198,0.05
3,20230203,12050,16250,11820,16250,3594250,2.52
4,20230206,17170,21100,15500,21100,2306424,1.87
5,20230207,24100,27400,24100,27400,838402,1.44
6,20230208,32400,33500,27200,28700,2386526,1.44
7,20230209,30200,31000,25600,27400,1248278,1.36
8,20230210,26100,26900,23000,23650,725041,1.36
9,20230213,23050,24400,21750,23750,487939,1.36
10,20230214,23450,25650,22550,23000,854294,1.36
11,20230215,22800,23700,21050,21400,429076,1.36
12,20230216,21250,22200,20450,21000,281859,1.36
13,20230217,21550,24400,20900,21300,636215,1.36
14,20230220,20800,21050,19800,19970,171722,1.36
15,20230221,20500,22950,20150,21400,530494,1.36
16,20230222,20650,21400,20000,21350,191737,1.36
17,20230223,22550,23750,20450,21400,449605,0.29
18,20230224,20800,21300,20200,20400,151473,0.31
19,20230227,19900,19900,17910,17910,204639,0.34
20,20230228,18070,23250,17710,23250,2203471,0.33
21,20230302,24300,26050,22100,23900,2199094,0.26
22,20230303,22850,24500,21650,21650,696510,0.32
23,20230306,21000,21300,19850,19850,287594,0.35
24,20230307,18500,18500,17480,17480,142536,0.33
25,20230308,17080,18000,16560,17310,107478,0.31
26,20230309,17000,17350,16450,16480,54428,0.31
27,20230310,17070,17070,15830,16200,62337,0.31
28,20230313,15600,15600,15000,15030,73278,0.31
29,20230314,14630,14630,14030,14220,66486,0.31
30,20230315,14760,14760,14350,14400,35866,0.29
31,20230316,14000,14000,13310,13630,60153,0.28
32,20230317,13950,14670,13690,14150,55591,0.28
33,20230320,13800,14020,13800,13820,35252,0.28
34,20230321,14070,14070,13820,13850,20345,0.28
35,20230322,13850,13850,13010,13160,38971,0.28
36,20230323,12840,12840,12100,12220,76641,0.28
37,20230324,12530,13040,12530,12650,57614,0.28
38,20230327,12650,12650,12180,12290,28780,0.28
39,20230328,12440,12440,11900,12100,22232,0.28
40,20230329,11950,12300,11950,11990,21012,0.28
41,20230330,12010,12010,11750,11850,23539,0.28
42,20230331,11800,12930,11710,12890,37044,0.28
43,20230403,12410,12600,12380,12500,27512,0.28
44,20230404,12420,13290,12420,12820,30343,0.28
45,20230405,12600,13800,12600,13580,68034,0.28
46,20230406,13240,14250,13240,13510,100758,0.28
47,20230407,13510,13510,12660,12660,47982,0.27
48,20230410,12620,12620,12140,12140,28327,0.27
49,20230411,12390,12440,12150,12440,22152,0.27
50,20230412,12250,12310,12220,12220,17239,0.27
51,20230413,12120,12120,11810,11820,25327,0.27
52,20230414,11740,12030,11740,11900,11784,0.27
53,20230417,12000,12000,11710,11730,12593,0.27
54,20230418,11900,11900,11500,11630,19247,0.27
55,20230419,11510,11510,11440,11440,8809,0.27
56,20230420,11440,11440,11090,11090,15126,0.27
57,20230421,10900,10900,10470,10470,23875,0.27
58,20230424,10310,10610,10310,10410,15971,0.27
59,20230425,10400,10400,10200,10240,11035,0.27
60,20230426,10130,10250,10100,10120,20656,0.27
61,20230427,10080,10120,9920,10110,15699,0.27
62,20230428,10260,10260,9800,9960,12402,0.27
63,20230502,9890,9970,9890,9970,9928,0.27
64,20230503,9940,9940,9800,9810,7466,0.27
65,20230504,9810,9960,9810,9950,7296,0.27
66,20230508,9980,9980,9700,9700,10562,0.27
67,20230509,9800,9800,9500,9500,9232,0.27
68,20230510,9400,9890,9400,9450,11009,0.27
69,20230511,9350,9560,9310,9310,10344,0.27
70,20230512,9590,9590,9390,9410,5029,0.27
71,20230515,9250,9380,9010,9110,12597,0.27
72,20230516,8970,8970,8920,8930,7013,0.27
73,20230517,8800,8850,8760,8850,9220,0.27
74,20230518,8770,9060,8770,8850,5465,0.27
75,20230519,8810,9000,8810,8850,5602,0.27
76,20230522,9200,11500,9200,11500,121259,0.27
77,20230523,10980,10980,10220,10330,159193,0.27
78,20230524,10490,10490,10100,10100,39976,0.27
79,20230525,10110,10310,9910,9910,19704,0.27
80,20230526,9940,9940,9610,9610,13966,0.27
81,20230530,9850,9850,9610,9620,10084,0.27
82,20230531,9750,9750,9400,9400,10465,0.27
83,20230601,9370,9900,9280,9750,14304,0.27
84,20230602,9870,9870,9610,9640,9778,0.27
85,20230605,9600,9620,9510,9620,7022,0.27
86,20230607,9560,9620,9550,9570,8011,0.27
87,20230608,9520,9600,9490,9600,8776,0.27
88,20230609,9530,9640,9510,9610,12276,0.27
89,20230612,10400,12050,10400,10470,171899,0.27
90,20230613,10160,10160,9980,9980,33231,0.27
91,20230614,9960,10140,9500,9620,12884,0.27
92,20230615,9510,9800,9510,9800,11188,0.27
93,20230616,10290,10290,9650,9770,17201,0.27
94,20230619,9660,9860,9660,9660,9064,0.27
95,20230620,9660,9740,9560,9740,11185,0.27
96,20230621,9580,9640,9500,9540,11206,0.27
97,20230622,9510,9900,9510,9610,15399,0.27
98,20230623,9570,9570,9400,9420,9916,0.27
99,20230626,9130,9450,9130,9420,14687,0.27
100,20230627,9260,9300,9240,9280,7810,0.27
101,20230628,9200,9200,9070,9080,9150,0.27
102,20230629,9000,9000,8910,8980,2778,0.27
103,20230630,9300,9300,8900,8960,3476,0.27
104,20230703,9100,9100,8880,8900,3875,0.27
105,20230704,8700,8700,8480,8590,29386,0.27
106,20230705,8520,8520,8300,8380,9624,0.27
107,20230706,8270,8270,8170,8230,6713,0.27
108,20230707,8230,8340,8010,8340,7853,0.27
109,20230710,8390,8450,8260,8290,8747,0.27
110,20230711,8470,8470,8230,8240,7614,0.27
111,20230712,8140,8240,8000,8000,6011,0.27
112,20230713,8000,8000,7890,7990,6804,0.27
113,20230714,8090,8090,7910,7930,3260,0.27
114,20230717,8200,8200,7960,8000,2560,0.27
115,20230718,8000,8190,8000,8190,5026,0.27
116,20230719,8490,8490,8050,8060,3698,0.27
117,20230720,8060,8060,7930,8030,4746,0.27
118,20230721,7970,8000,7810,7810,3624,0.27
119,20230724,7800,7800,7350,7670,8217,0.27
120,20230725,7520,8100,7390,7980,12624,0.27
121,20230726,8100,8100,7450,7450,7592,0.27
122,20230727,7530,7570,7210,7310,3721,0.27
123,20230728,7200,7380,7200,7310,2647,0.27
124,20230731,7250,7520,7250,7380,2029,0.27
125,20230801,7580,7580,7390,7500,1373,0.27
126,20230802,7590,7590,7200,7200,3785,0.27
127,20230803,7260,7260,7080,7260,3300,0.27
128,20230804,7260,7340,7160,7340,2917,0.27
129,20230807,7150,7260,7110,7140,2023,0.27
130,20230808,7130,7300,7070,7300,6574,0.27
131,20230809,7300,7430,7300,7420,1144,0.27
132,20230810,7220,7420,7220,7420,3374,0.27
133,20230811,7470,7470,7430,7430,1035,0.27
134,20230814,7400,7400,7230,7290,2014,0.27
135,20230816,7200,7400,7200,7400,1150,0.27
136,20230817,7390,7390,7030,7190,1755,0.27
137,20230818,7400,7400,7190,7300,1304,0.27
138,20230821,7460,7460,7210,7450,2480,0.27
139,20230822,7500,7500,7350,7440,855,0.27
140,20230823,7450,7450,7250,7370,845,0.27
